,alpha=0.01,alpha=0.025,alpha=0.05,alpha=0.075,alpha=0.1
t=93600,0.37125531367553877,0.20508888307252593,0.1384064447601152,0.1109457680367365,0.09433828090115082
t=97200,0.3824775563710676,0.21096885934521858,0.1423071364650752,0.11406073970142083,0.0969866521524374
t=100800,0.3936579274526042,0.21681005043402335,0.14617808673888688,0.1171509806625406,0.0996136846964144
t=104400,0.40480032457784576,0.22261483429026852,0.15002095379188196,0.12021782792787894,0.1022205134105969
t=108000,0.4159083242436885,0.22838539341539899,0.1538372603176501,0.12326250955378337,0.10480818086515753
t=111600,0.42698521823125746,0.23412373681031973,0.15762840864643013,0.12628615680606536,0.1073776476147068
t=115200,0.4380340449002622,0.23983171884159327,0.16139569377552054,0.12928981461904487,0.10992980105076189
t=118800,0.44905761619657003,0.24551105553945973,0.16514031463066337,0.1322744506362672,0.11246546305458471
t=122400,0.46005854107047384,0.25116333874373553,0.16886338384447397,0.135240963062075,0.11498539664413765
t=126000,0.47103924587268153,0.256790048436083,0.17256593628471895,0.13819018751056666,0.11749031177286962
