time,low,high,open,close,volume
2022-01-14 17:40:00,3281.21,3286.39,3285.56,3283.51,319.33310082
2022-01-14 17:45:00,3279.13,3285.6,3283.52,3283.58,500.98166826
2022-01-14 17:50:00,3278.13,3288.98,3283.65,3279.17,378.35374582
2022-01-14 17:55:00,3276.21,3282.09,3279.3,3281.09,372.0977724
2022-01-14 18:00:00,3276.42,3287.1,3280.67,3286.88,529.36477371
2022-01-14 18:05:00,3283.9,3291.16,3286.99,3285.01,411.90813437
2022-01-14 18:10:00,3279.03,3288.87,3284.73,3287.09,472.90464706
2022-01-14 18:15:00,3278.12,3287.36,3287.08,3279.12,425.10316459
2022-01-14 18:20:00,3272.15,3278.84,3278.8,3275.89,398.45691294
2022-01-14 18:25:00,3275.11,3282.12,3275.51,3281.81,398.64943114
2022-01-14 18:30:00,3274.49,3284.4,3281.81,3276.25,574.73258435
2022-01-14 18:35:00,3275.0,3281.53,3275.93,3276.91,377.60837661
2022-01-14 18:40:00,3274.56,3288.29,3276.91,3287.3,880.71474361
2022-01-14 18:45:00,3283.32,3287.76,3287.3,3286.67,278.5468684
2022-01-14 18:50:00,3284.85,3290.87,3286.67,3290.25,273.54409751
2022-01-14 18:55:00,3289.01,3296.31,3290.23,3293.91,294.6862412
2022-01-14 19:00:00,3293.04,3303.13,3293.48,3299.49,609.95073886
2022-01-14 19:05:00,3295.47,3299.89,3299.08,3296.48,391.58325312
2022-01-14 19:10:00,3294.43,3305.98,3296.48,3304.88,418.32675285
2022-01-14 19:15:00,3302.36,3311.48,3304.91,3310.44,596.9453654
2022-01-14 19:20:00,3302.51,3312.12,3310.45,3311.99,630.30176477
2022-01-14 19:25:00,3300.0,3312.49,3312.04,3300.78,481.22984956
2022-01-14 19:30:00,3299.06,3306.93,3300.86,3306.56,407.21696355
2022-01-14 19:35:00,3304.78,3328.58,3306.56,3322.98,1195.68089718
2022-01-14 19:40:00,3312.03,3322.99,3322.99,3312.68,791.56072086
2022-01-14 19:45:00,3306.59,3316.13,3312.67,3308.14,613.2552214
2022-01-14 19:50:00,3307.57,3312.5,3308.14,3311.5,480.73316957
2022-01-14 19:55:00,3308.85,3315.27,3311.5,3309.71,333.56849581
2022-01-14 20:00:00,3308.26,3319.55,3309.71,3316.06,335.53529494
2022-01-14 20:05:00,3309.3,3317.29,3316.04,3311.33,355.72282258
2022-01-14 20:10:00,3307.93,3313.09,3311.33,3308.07,501.40432192
2022-01-14 20:15:00,3302.3,3308.91,3308.04,3307.52,440.73543897
2022-01-14 20:20:00,3304.05,3308.8,3307.51,3308.49,348.48340589
2022-01-14 20:25:00,3304.08,3309.51,3308.48,3304.78,146.46555987
2022-01-14 20:30:00,3304.21,3310.37,3304.78,3308.6,362.33707383
2022-01-14 20:35:00,3303.04,3309.09,3308.56,3304.51,1367.04896667
